x_center[m],CL_Power_CX[W/ptcl],CL_Power_EL[W/ptcl],CL_Power_EI[W/ptcl],CL_Power_Total[W/ptcl],TL_Power_CX[W/ptcl],TL_Power_EL[W/ptcl],TL_Power_EI[W/ptcl],TL_Power_Total[W/ptcl]
  5.000000E-04,  2.538622E-16,  7.228657E-16,  0.000000E+00,  9.767278E-16,  1.886974E-16,  1.413828E-15,  0.000000E+00,  1.602526E-15
  1.500000E-03,  5.272474E-17,  4.683249E-16,  0.000000E+00,  5.210497E-16, -1.342200E-16,  8.203673E-16,  0.000000E+00,  6.861473E-16
  2.500000E-03, -1.011489E-16,  3.468363E-16,  0.000000E+00,  2.456875E-16, -2.320700E-16,  6.506918E-16,  0.000000E+00,  4.186219E-16
  3.500000E-03, -4.145436E-17,  2.629060E-16,  0.000000E+00,  2.214517E-16, -2.841673E-16,  5.481780E-16,  0.000000E+00,  2.640107E-16
  4.500000E-03, -1.037859E-16,  1.769865E-16,  0.000000E+00,  7.320063E-17, -2.610977E-16,  5.870387E-16,  0.000000E+00,  3.259410E-16
  5.500000E-03, -1.980044E-16,  2.533354E-16,  0.000000E+00,  5.533105E-17, -2.802173E-16,  5.154281E-16,  0.000000E+00,  2.352107E-16
  6.500000E-03, -1.171588E-16,  7.745808E-17,  0.000000E+00, -3.970075E-17, -3.536611E-16,  3.306619E-16,  0.000000E+00, -2.299926E-17
  7.500000E-03, -5.936312E-17,  7.730407E-17,  0.000000E+00,  1.794095E-17, -3.482138E-16,  3.497655E-16,  0.000000E+00,  1.551720E-18
  8.500000E-03, -1.304582E-16,  1.676416E-16,  0.000000E+00,  3.718340E-17, -3.514674E-16,  2.846733E-16,  0.000000E+00, -6.679409E-17
  9.500000E-03, -1.021781E-16, -2.429130E-17,  0.000000E+00, -1.264694E-16, -3.415173E-16,  2.487735E-16,  0.000000E+00, -9.274383E-17
  1.050000E-02, -9.395425E-17,  2.345558E-16,  0.000000E+00,  1.406015E-16, -3.379852E-16,  2.174952E-16,  0.000000E+00, -1.204900E-16
  1.150000E-02, -2.124001E-16,  8.494998E-17,  0.000000E+00, -1.274501E-16, -3.067114E-16,  2.724188E-16,  0.000000E+00, -3.429267E-17
  1.250000E-02, -1.253100E-16,  1.143370E-16,  0.000000E+00, -1.097297E-17, -2.982905E-16,  2.482386E-16,  0.000000E+00, -5.005195E-17
  1.350000E-02, -6.429707E-17,  2.317429E-16,  0.000000E+00,  1.674459E-16, -2.267794E-16,  3.969356E-16,  0.000000E+00,  1.701562E-16
  1.450000E-02, -1.452342E-16,  1.375070E-16,  0.000000E+00, -7.727227E-18, -1.979383E-16,  4.415842E-16,  0.000000E+00,  2.436459E-16
  1.550000E-02, -1.233337E-16,  7.403652E-17,  0.000000E+00, -4.929718E-17, -3.268567E-16,  1.028168E-16,  0.000000E+00, -2.240399E-16
  1.650000E-02, -1.381230E-16,  1.165985E-16,  0.000000E+00, -2.152452E-17, -2.775565E-16,  2.017360E-16,  0.000000E+00, -7.582049E-17
  1.750000E-02, -1.056302E-16,  9.809221E-17,  0.000000E+00, -7.537958E-18, -2.618282E-16,  1.851419E-16,  0.000000E+00, -7.668630E-17
  1.850000E-02, -5.149205E-17,  5.403309E-17,  0.000000E+00,  2.541047E-18, -2.306713E-16,  2.204015E-16,  0.000000E+00, -1.026976E-17
  1.950000E-02, -8.553875E-17,  7.958422E-17,  0.000000E+00, -5.954523E-18, -2.035064E-16,  2.957154E-16,  0.000000E+00,  9.220909E-17
  2.050000E-02, -1.277913E-16,  1.821408E-16,  0.000000E+00,  5.434954E-17, -2.332054E-16,  1.989421E-16,  0.000000E+00, -3.426329E-17
  2.150000E-02, -9.564611E-17,  1.221744E-16,  0.000000E+00,  2.652832E-17, -2.296383E-16,  1.758986E-16,  0.000000E+00, -5.373972E-17
  2.250000E-02, -4.607934E-17,  1.057926E-17,  0.000000E+00, -3.550008E-17, -1.838235E-16,  2.565725E-16,  0.000000E+00,  7.274897E-17
  2.350000E-02, -6.450284E-17,  1.115332E-16,  0.000000E+00,  4.703033E-17, -2.340547E-16,  1.220305E-16,  0.000000E+00, -1.120242E-16
  2.450000E-02, -1.314082E-16,  5.547090E-17,  0.000000E+00, -7.593727E-17, -2.568622E-16,  2.616737E-17,  0.000000E+00, -2.306949E-16
  2.550000E-02, -5.753652E-17,  1.054456E-16,  0.000000E+00,  4.790910E-17, -2.302461E-16,  6.617471E-17,  0.000000E+00, -1.640713E-16
  2.650000E-02, -2.873553E-17,  2.422082E-17,  0.000000E+00, -4.514716E-18, -2.008924E-16,  1.432704E-16,  0.000000E+00, -5.762203E-17
  2.750000E-02, -2.028275E-17,  6.387809E-17,  0.000000E+00,  4.359535E-17, -1.876727E-16,  1.815234E-16,  0.000000E+00, -6.149352E-18
  2.850000E-02, -8.572045E-17,  3.019665E-17,  0.000000E+00, -5.552379E-17, -2.122844E-16,  7.980860E-17,  0.000000E+00, -1.324758E-16
  2.950000E-02, -4.944394E-17, -2.251913E-17,  0.000000E+00, -7.196307E-17, -1.844480E-16,  1.113152E-16,  0.000000E+00, -7.313283E-17
  3.050000E-02, -1.128701E-17,  2.666032E-17,  0.000000E+00,  1.537331E-17, -1.407402E-16,  1.785337E-16,  0.000000E+00,  3.779356E-17
  3.150000E-02, -1.153480E-16,  1.046997E-16,  0.000000E+00, -1.064826E-17, -1.653210E-16,  1.074958E-16,  0.000000E+00, -5.782520E-17
  3.250000E-02, -3.360222E-17,  7.002666E-17,  0.000000E+00,  3.642443E-17, -1.317974E-16,  1.676945E-16,  0.000000E+00,  3.589712E-17
  3.350000E-02, -8.186644E-17,  5.906089E-17,  0.000000E+00, -2.280555E-17, -1.373388E-16,  1.332929E-16,  0.000000E+00, -4.045962E-18
  3.450000E-02, -4.392639E-17,  2.034714E-17,  0.000000E+00, -2.357924E-17, -1.537852E-16,  6.590613E-17,  0.000000E+00, -8.787910E-17
  3.550000E-02, -3.806118E-17,  3.461969E-17,  0.000000E+00, -3.441494E-18, -1.400574E-16,  8.620455E-17,  0.000000E+00, -5.385282E-17
  3.650000E-02, -4.339589E-17,  1.218763E-16,  0.000000E+00,  7.848045E-17, -1.257213E-16,  9.830949E-17,  0.000000E+00, -2.741180E-17
  3.750000E-02, -7.237809E-17,  8.624374E-18,  0.000000E+00, -6.375372E-17, -1.046657E-16,  1.278066E-16,  0.000000E+00,  2.314083E-17
  3.850000E-02, -2.480982E-17,  7.778663E-17,  0.000000E+00,  5.297681E-17, -9.418013E-17,  1.496458E-16,  0.000000E+00,  5.546567E-17
  3.950000E-02, -1.167919E-16,  9.855749E-17,  0.000000E+00, -1.823445E-17, -9.284640E-17,  1.364304E-16,  0.000000E+00,  4.358397E-17
  4.050000E-02, -4.553648E-17,  4.497084E-17,  0.000000E+00, -5.656338E-19, -9.964749E-17,  8.089225E-17,  0.000000E+00, -1.875524E-17
  4.150000E-02, -6.621625E-17,  6.221154E-17,  0.000000E+00, -4.004708E-18, -9.977878E-17,  4.140370E-17,  0.000000E+00, -5.837508E-17
  4.250000E-02, -8.242229E-17,  5.471769E-17,  0.000000E+00, -2.770460E-17, -1.146509E-16,  1.327558E-17,  0.000000E+00, -1.013753E-16
  4.350000E-02, -4.812364E-17,  4.108452E-18,  0.000000E+00, -4.401519E-17, -8.859773E-17,  6.457061E-17,  0.000000E+00, -2.402711E-17
  4.450000E-02,  1.396811E-17,  8.369604E-18,  0.000000E+00,  2.233771E-17, -7.894067E-17,  8.419960E-17,  0.000000E+00,  5.258927E-18
  4.550000E-02, -8.757478E-17,  4.193387E-17,  0.000000E+00, -4.564091E-17, -1.066249E-16,  1.208633E-17,  0.000000E+00, -9.453858E-17
  4.650000E-02, -2.547513E-17,  7.005251E-17,  0.000000E+00,  4.457738E-17, -8.895680E-17,  2.420599E-17,  0.000000E+00, -6.475081E-17
  4.750000E-02, -3.515275E-17,  3.889116E-17,  0.000000E+00,  3.738406E-18, -5.446679E-17,  1.100444E-16,  0.000000E+00,  5.557760E-17
  4.850000E-02,  1.070065E-18, -9.610542E-19,  0.000000E+00,  1.090107E-19, -7.137988E-17,  3.731545E-17,  0.000000E+00, -3.406443E-17
  4.950000E-02, -7.199163E-17,  5.166499E-17,  0.000000E+00, -2.032664E-17, -5.921373E-17,  7.055334E-17,  0.000000E+00,  1.133962E-17
  5.050000E-02, -8.661400E-18,  6.142508E-17,  0.000000E+00,  5.276368E-17, -6.436168E-17,  4.410539E-17,  0.000000E+00, -2.025629E-17
  5.150000E-02, -4.004063E-17,  2.209170E-17,  0.000000E+00, -1.794893E-17, -6.512888E-17,  4.551460E-17,  0.000000E+00, -1.961428E-17
  5.250000E-02, -2.224171E-17,  9.139474E-18,  0.000000E+00, -1.310224E-17, -4.480079E-17,  8.167375E-17,  0.000000E+00,  3.687296E-17
  5.350000E-02, -2.065100E-17,  1.386633E-17,  0.000000E+00, -6.784662E-18, -5.210495E-17,  5.637674E-17,  0.000000E+00,  4.271789E-18
  5.450000E-02, -7.776537E-17,  8.149221E-17,  0.000000E+00,  3.726834E-18, -4.516662E-17,  7.254692E-17,  0.000000E+00,  2.738030E-17
  5.550000E-02, -2.881019E-17,  1.782124E-17,  0.000000E+00, -1.098896E-17, -2.870199E-17,  9.421490E-17,  0.000000E+00,  6.551291E-17
  5.650000E-02,  1.516327E-17,  1.144142E-17,  0.000000E+00,  2.660469E-17, -4.197247E-17,  4.656983E-17,  0.000000E+00,  4.597360E-18
  5.750000E-02, -4.586361E-17,  2.695116E-17,  0.000000E+00, -1.891245E-17, -3.581799E-17,  4.305234E-17,  0.000000E+00,  7.234341E-18
  5.850000E-02, -3.870917E-17,  1.630035E-17,  0.000000E+00, -2.240882E-17, -4.333097E-17,  2.195758E-17,  0.000000E+00, -2.137339E-17
  5.950000E-02,  8.822815E-18,  2.662644E-17,  0.000000E+00,  3.544926E-17, -2.528155E-17,  6.529080E-17,  0.000000E+00,  4.000925E-17
  6.050000E-02,  5.659615E-18,  2.268725E-18,  0.000000E+00,  7.928340E-18, -2.283450E-17,  6.021995E-17,  0.000000E+00,  3.738545E-17
  6.150000E-02, -1.686220E-17,  5.463816E-18,  0.000000E+00, -1.139838E-17, -3.131359E-17,  3.536631E-17,  0.000000E+00,  4.052722E-18
  6.250000E-02, -2.527996E-17,  2.402706E-17,  0.000000E+00, -1.252902E-18, -4.004631E-17,  7.120756E-18,  0.000000E+00, -3.292555E-17
  6.350000E-02, -2.101718E-17,  2.695696E-17,  0.000000E+00,  5.939774E-18, -1.443160E-17,  6.468074E-17,  0.000000E+00,  5.024914E-17
  6.450000E-02, -2.107965E-17,  7.483926E-18,  0.000000E+00, -1.359572E-17, -6.069506E-18,  8.287183E-17,  0.000000E+00,  7.680232E-17
  6.550000E-02, -7.832924E-18, -2.372892E-18,  0.000000E+00, -1.020582E-17, -1.893196E-17,  3.851247E-17,  0.000000E+00,  1.958050E-17
  6.650000E-02,  8.703499E-19, -1.115449E-17,  0.000000E+00, -1.028414E-17, -3.483398E-17,  2.375535E-19,  0.000000E+00, -3.459643E-17
  6.750000E-02, -7.487071E-18,  6.544394E-18,  0.000000E+00, -9.426768E-19, -3.790233E-17, -1.685893E-17,  0.000000E+00, -5.476126E-17
  6.850000E-02, -2.590090E-17,  3.845595E-17,  0.000000E+00,  1.255505E-17, -2.378096E-17,  1.634565E-17,  0.000000E+00, -7.435314E-18
  6.950000E-02, -4.404125E-18, -1.625421E-17,  0.000000E+00, -2.065833E-17, -2.281878E-17,  1.287443E-17,  0.000000E+00, -9.944358E-18
  7.050000E-02, -2.385038E-17,  1.969352E-17,  0.000000E+00, -4.156856E-18, -3.008984E-17, -6.148264E-18,  0.000000E+00, -3.623811E-17
  7.150000E-02, -1.483153E-17,  5.650258E-18,  0.000000E+00, -9.181274E-18, -2.659978E-17, -9.090553E-19,  0.000000E+00, -2.750884E-17
  7.250000E-02, -1.104557E-17,  1.986912E-17,  0.000000E+00,  8.823547E-18, -1.888416E-17,  1.576561E-17,  0.000000E+00, -3.118555E-18
  7.350000E-02,  7.172680E-18,  5.679522E-18,  0.000000E+00,  1.285220E-17, -1.145398E-17,  2.657798E-17,  0.000000E+00,  1.512401E-17
  7.450000E-02, -1.648366E-17,  4.466311E-18,  0.000000E+00, -1.201735E-17, -1.979892E-17,  2.240113E-18,  0.000000E+00, -1.755881E-17
  7.550000E-02,  8.200470E-18,  9.694595E-18,  0.000000E+00,  1.789506E-17, -1.386042E-17,  1.296053E-17,  0.000000E+00, -8.998884E-19
  7.650000E-02, -1.694194E-17,  9.800916E-18,  0.000000E+00, -7.141020E-18, -1.646463E-17,  3.494604E-18,  0.000000E+00, -1.297002E-17
  7.750000E-02, -1.436818E-17,  1.507849E-17,  0.000000E+00,  7.103135E-19, -7.837260E-18,  2.347483E-17,  0.000000E+00,  1.563757E-17
  7.850000E-02,  5.188423E-18,  1.788179E-17,  0.000000E+00,  2.307021E-17, -3.322066E-18,  2.684736E-17,  0.000000E+00,  2.352529E-17
  7.950000E-02, -1.225566E-17,  3.134136E-18,  0.000000E+00, -9.121527E-18, -1.069316E-17,  9.736482E-18,  0.000000E+00, -9.566829E-19
  8.050000E-02, -1.006671E-17, -7.105224E-18,  0.000000E+00, -1.717193E-17, -1.564650E-17, -7.501563E-18,  0.000000E+00, -2.314807E-17
  8.150000E-02, -2.602522E-18,  1.301315E-17,  0.000000E+00,  1.041062E-17, -1.166338E-17,  1.388677E-18,  0.000000E+00, -1.027471E-17
  8.250000E-02, -1.532335E-17,  2.387784E-18,  0.000000E+00, -1.293556E-17, -2.077453E-17, -1.887978E-17,  0.000000E+00, -3.965431E-17
  8.350000E-02, -1.320245E-17,  2.651349E-17,  0.000000E+00,  1.331105E-17, -8.838903E-18,  5.229984E-18,  0.000000E+00, -3.608919E-18
  8.450000E-02,  5.788327E-18, -3.878276E-18,  0.000000E+00,  1.910051E-18, -1.206199E-17, -1.032430E-18,  0.000000E+00, -1.309442E-17
  8.550000E-02, -9.544090E-18,  1.623779E-18,  0.000000E+00, -7.920311E-18, -8.115987E-18,  6.999573E-18,  0.000000E+00, -1.116414E-18
  8.650000E-02, -5.296539E-19,  5.707708E-18,  0.000000E+00,  5.178054E-18, -3.379594E-18,  2.040736E-17,  0.000000E+00,  1.702777E-17
  8.750000E-02,  7.982759E-18, -4.491895E-18,  0.000000E+00,  3.490864E-18, -2.269707E-18,  1.705437E-17,  0.000000E+00,  1.478466E-17
  8.850000E-02, -7.208921E-18, -9.971919E-19,  0.000000E+00, -8.206113E-18, -4.932513E-18,  2.341006E-18,  0.000000E+00, -2.591508E-18
  8.950000E-02, -2.481514E-18, -2.400490E-18,  0.000000E+00, -4.882004E-18, -1.158366E-18,  1.270218E-17,  0.000000E+00,  1.154382E-17
  9.050000E-02, -7.798575E-19,  8.232698E-18,  0.000000E+00,  7.452841E-18, -3.225506E-18,  6.354824E-18,  0.000000E+00,  3.129318E-18
  9.150000E-02, -9.281257E-18,  2.602870E-18,  0.000000E+00, -6.678386E-18, -1.411932E-18,  1.043933E-17,  0.000000E+00,  9.027400E-18
  9.250000E-02, -8.639660E-18,  3.000351E-18,  0.000000E+00, -5.639309E-18,  2.647402E-18,  2.031165E-17,  0.000000E+00,  2.295906E-17
  9.350000E-02,  4.072746E-18, -5.162262E-18,  0.000000E+00, -1.089515E-18, -1.332261E-18,  9.383789E-18,  0.000000E+00,  8.051528E-18
  9.450000E-02,  9.133378E-18, -1.007455E-18,  0.000000E+00,  8.125923E-18,  2.079420E-18,  1.620536E-17,  0.000000E+00,  1.828479E-17
  9.550000E-02, -3.675776E-18,  8.172425E-18,  0.000000E+00,  4.496650E-18, -2.297534E-18,  2.046301E-18,  0.000000E+00, -2.512325E-19
  9.650000E-02, -5.140376E-18,  4.465636E-19,  0.000000E+00, -4.693812E-18, -2.084780E-18, -9.022562E-19,  0.000000E+00, -2.987036E-18
  9.750000E-02, -2.044815E-19, -4.627946E-19,  0.000000E+00, -6.672762E-19, -2.333542E-19,  1.985159E-18,  0.000000E+00,  1.751805E-18
  9.850000E-02, -2.072351E-18,  4.108201E-18,  0.000000E+00,  2.035850E-18,  8.790562E-20,  3.505787E-18,  0.000000E+00,  3.593693E-18
  9.950000E-02,  7.170329E-19,  2.719411E-18,  0.000000E+00,  3.436444E-18, -4.424355E-19,  6.987590E-19,  0.000000E+00,  2.563235E-19
